X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU_31	OTU_46	0.198348	0.198348	0.198348	17	17	6	0	0.433000	0.348254	0.095378	0.348254	0.095378	0	0.174281	0.415368	0.233320	0.283972	-1	0.557739	0.541002	0.002189	0.465350	0.001172	28	54
OTU_31	OTU_74	-0.135550	-0.135550	-0.135550	2	2	21	0	0.779000	-0.191605	0.369768	0.284443	0.188364	1	-0.245165	0.248226	-0.245165	0.248226	0	0.693142	0.630283	0.003032	0.375611	0.001092	28	55
OTU_31	OTU_44	-0.161916	-0.161916	-0.161916	5	5	12	0	0.757000	-0.076730	0.721572	-0.253328	0.243488	1	-0.024075	0.911091	-0.208948	0.338661	1	0.687793	0.630361	0.003321	0.629979	0.001302	28	56
OTU_31	OTU_101	-0.275000	-0.275000	-0.275000	6	6	3	0	0.786000	-0.161430	0.451097	-0.164280	0.453836	1	-0.052636	0.807023	-0.145202	0.508582	-1	0.695269	0.630283	0.003858	0.603344	0.001717	28	57
OTU_31	OTU_75	0.278025	0.278025	0.278025	2	2	23	0	0.011000	0.247915	0.242791	0.247915	0.242791	0	0.678816	0.000266	0.678816	0.000266	0	0.124460	0.630283	0.003321	0.010233	0.000037	28	58
OTU_31	OTU_55	-0.233601	-0.233601	-0.233601	2	1	19	1	0.128000	-0.160755	0.453016	-0.349474	0.102140	1	-0.078930	0.713913	-0.405186	0.055108	1	0.338989	0.630283	0.002276	0.574193	0.000526	28	59
OTU_31	OTU_51	-0.228103	-0.228103	-0.228103	1	2	9	-1	0.514000	0.020694	0.923540	-0.280457	0.194900	-1	0.078286	0.716150	-0.274067	0.205700	-1	0.599149	0.669889	0.003074	0.575221	0.000993	28	60
OTU_31	OTU_100	-0.246554	-0.246554	-0.246554	2	1	19	1	0.427000	-0.010430	0.961421	-0.352597	0.098905	1	0.252443	0.234012	-0.322300	0.133652	1	0.554904	0.679173	0.002233	0.367342	0.000791	28	61
OTU_31	OTU_83	0.362293	0.362293	0.362293	10	11	12	-1	0.536000	-0.246727	0.245128	0.374367	0.078421	-1	-0.253268	0.232436	-0.253268	0.232436	0	0.608603	0.630283	0.001983	0.365829	0.001058	28	62
OTU_31	OTU_90	-0.199454	-0.199454	-0.199454	3	3	14	0	0.830000	-0.133551	0.533853	-0.136904	0.533352	1	-0.109247	0.611345	-0.196230	0.369520	1	0.706820	0.630283	0.004036	0.545786	0.001377	28	63
OTU_31	OTU_525	0.108280	0.108280	0.108280	5	6	10	-1	0.954000	0.119517	0.578035	0.366228	0.085666	1	0.035899	0.867736	0.129581	0.555669	-1	0.742257	0.630283	0.002082	0.618549	0.001832	28	64
